ISO,Year,EMEP_data,GNFR,Pollutant,emis_t,SNAP,Region,EMEP_Sector,sec_long,long_name,Data_source
AL,2020,2020,B_Industry,nmvoc,1638.52,3,eu,2,sec02,Industry,EMEP_unprocessed
AL,2020,2020,C_OtherStationaryComb,nmvoc,8204.98,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AL,2020,2020,D_Fugitive,nmvoc,465.43,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AL,2020,2020,E_Solvents,nmvoc,9794.95,6,eu,5,sec05,Solvents,EMEP_unprocessed
AL,2020,2020,F_RoadTransport,nmvoc,1386.56,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AL,2020,2020,G_Shipping,nmvoc,406.9,8,eu,7,sec07,Shipping,EMEP_unprocessed
AL,2020,2020,H_Aviation,nmvoc,7.14,8,eu,8,sec08,Aviation,EMEP_unprocessed
AL,2020,2020,I_Offroad,nmvoc,409.509999999999,8,eu,9,sec09,Offroad,EMEP_unprocessed
AL,2020,2020,J_Waste,nmvoc,1447.38,9,eu,10,sec10,Waste,EMEP_unprocessed
AL,2020,2020,K_AgriLivestock,nmvoc,5786.50000000001,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AL,2020,2020,L_AgriOther,nmvoc,1203.73,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AM,2020,2020,A_PublicPower,nmvoc,76.74,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AM,2020,2020,B_Industry,nmvoc,11.49,3,eu,2,sec02,Industry,EMEP_unprocessed
AM,2020,2020,C_OtherStationaryComb,nmvoc,13706.32,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AM,2020,2020,D_Fugitive,nmvoc,406.9,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AM,2020,2020,E_Solvents,nmvoc,11455.14,6,eu,5,sec05,Solvents,EMEP_unprocessed
AM,2020,2020,F_RoadTransport,nmvoc,4877.98,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AM,2020,2020,H_Aviation,nmvoc,70.8400000000001,8,eu,8,sec08,Aviation,EMEP_unprocessed
AM,2020,2020,I_Offroad,nmvoc,28.89,8,eu,9,sec09,Offroad,EMEP_unprocessed
AM,2020,2020,J_Waste,nmvoc,607.09,9,eu,10,sec10,Waste,EMEP_unprocessed
AM,2020,2020,K_AgriLivestock,nmvoc,4783.16999999999,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AM,2020,2020,L_AgriOther,nmvoc,2743.69,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AST,2020,2020,A_PublicPower,nmvoc,42363.6547943995,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AST,2020,2020,B_Industry,nmvoc,244043.593208723,3,eu,2,sec02,Industry,EMEP_unprocessed
AST,2020,2020,C_OtherStationaryComb,nmvoc,1283518.39529313,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AST,2020,2020,D_Fugitive,nmvoc,1541148.25738462,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AST,2020,2020,E_Solvents,nmvoc,1235433.63267978,6,eu,5,sec05,Solvents,EMEP_unprocessed
AST,2020,2020,F_RoadTransport,nmvoc,506126.958124726,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AST,2020,2020,G_Shipping,nmvoc,574.942730599759,8,eu,7,sec07,Shipping,EMEP_unprocessed
AST,2020,2020,H_Aviation,nmvoc,158.935783098749,8,eu,8,sec08,Aviation,EMEP_unprocessed
AST,2020,2020,I_Offroad,nmvoc,3441.43080655175,8,eu,9,sec09,Offroad,EMEP_unprocessed
AST,2020,2020,J_Waste,nmvoc,70443.273061461,9,eu,10,sec10,Waste,EMEP_unprocessed
AST,2020,2020,K_AgriLivestock,nmvoc,315931.147900028,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AST,2020,2020,L_AgriOther,nmvoc,244848.991884283,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AT,2020,2020,A_PublicPower,nmvoc,300.954405011736,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AT,2020,2020,B_Industry,nmvoc,4684.25310956485,3,eu,2,sec02,Industry,EMEP_unprocessed
AT,2020,2020,C_OtherStationaryComb,nmvoc,24570.2088292244,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AT,2020,2020,D_Fugitive,nmvoc,2028.270886513,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AT,2020,2020,E_Solvents,nmvoc,36902.9328923691,6,eu,5,sec05,Solvents,EMEP_unprocessed
AT,2020,2020,F_RoadTransport,nmvoc,3954.82699812091,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AT,2020,2020,G_Shipping,nmvoc,328.38259293556,8,eu,7,sec07,Shipping,EMEP_unprocessed
AT,2020,2020,H_Aviation,nmvoc,114.645761875498,8,eu,8,sec08,Aviation,EMEP_unprocessed
AT,2020,2020,I_Offroad,nmvoc,2326.52357289113,8,eu,9,sec09,Offroad,EMEP_unprocessed
AT,2020,2020,J_Waste,nmvoc,60.386966045326,9,eu,10,sec10,Waste,EMEP_unprocessed
AT,2020,2020,K_AgriLivestock,nmvoc,23734.7282009506,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AT,2020,2020,L_AgriOther,nmvoc,8920.48854281746,10,eu,12,sec12,AgriOther,EMEP_unprocessed
ATL,2020,2020,G_Shipping,nmvoc,6824.72981743245,8,eu,7,sec07,Shipping,EMEP_unprocessed
AZ,2020,2020,A_PublicPower,nmvoc,872.599999999999,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AZ,2020,2020,B_Industry,nmvoc,20295.33,3,eu,2,sec02,Industry,EMEP_unprocessed
AZ,2020,2020,C_OtherStationaryComb,nmvoc,3179.99,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AZ,2020,2020,D_Fugitive,nmvoc,227962.81,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AZ,2020,2020,E_Solvents,nmvoc,32789.33,6,eu,5,sec05,Solvents,EMEP_unprocessed
AZ,2020,2020,F_RoadTransport,nmvoc,49243.28,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AZ,2020,2020,G_Shipping,nmvoc,228.75,8,eu,7,sec07,Shipping,EMEP_unprocessed
AZ,2020,2020,H_Aviation,nmvoc,332.31,8,eu,8,sec08,Aviation,EMEP_unprocessed
AZ,2020,2020,I_Offroad,nmvoc,647.44,8,eu,9,sec09,Offroad,EMEP_unprocessed
AZ,2020,2020,J_Waste,nmvoc,1529.26,9,eu,10,sec10,Waste,EMEP_unprocessed
AZ,2020,2020,K_AgriLivestock,nmvoc,23996.55,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AZ,2020,2020,L_AgriOther,nmvoc,6417.91,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BA,2020,2020,A_PublicPower,nmvoc,996.280000000001,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BA,2020,2020,B_Industry,nmvoc,3964.06,3,eu,2,sec02,Industry,EMEP_unprocessed
BA,2020,2020,C_OtherStationaryComb,nmvoc,68775.4900000001,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BA,2020,2020,D_Fugitive,nmvoc,733.12,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BA,2020,2020,E_Solvents,nmvoc,11543.6,6,eu,5,sec05,Solvents,EMEP_unprocessed
BA,2020,2020,F_RoadTransport,nmvoc,2244.81,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BA,2020,2020,H_Aviation,nmvoc,7.44,8,eu,8,sec08,Aviation,EMEP_unprocessed
BA,2020,2020,I_Offroad,nmvoc,114.07,8,eu,9,sec09,Offroad,EMEP_unprocessed
BA,2020,2020,J_Waste,nmvoc,2626.93,9,eu,10,sec10,Waste,EMEP_unprocessed
BA,2020,2020,K_AgriLivestock,nmvoc,9244.9,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BA,2020,2020,L_AgriOther,nmvoc,3001.04,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BAS,2020,2020,G_Shipping,nmvoc,2593.86020782552,8,eu,7,sec07,Shipping,EMEP_unprocessed
BE,2020,2020,A_PublicPower,nmvoc,437.116988063013,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BE,2020,2020,B_Industry,nmvoc,14753.8953931351,3,eu,2,sec02,Industry,EMEP_unprocessed
BE,2020,2020,C_OtherStationaryComb,nmvoc,10814.7477946522,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BE,2020,2020,D_Fugitive,nmvoc,5624.18755667575,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BE,2020,2020,E_Solvents,nmvoc,50030.2660190342,6,eu,5,sec05,Solvents,EMEP_unprocessed
BE,2020,2020,F_RoadTransport,nmvoc,6709.45095345721,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BE,2020,2020,G_Shipping,nmvoc,183.430486609926,8,eu,7,sec07,Shipping,EMEP_unprocessed
BE,2020,2020,H_Aviation,nmvoc,77.7775362699078,8,eu,8,sec08,Aviation,EMEP_unprocessed
BE,2020,2020,I_Offroad,nmvoc,3292.36872220944,8,eu,9,sec09,Offroad,EMEP_unprocessed
BE,2020,2020,J_Waste,nmvoc,636.412392681,9,eu,10,sec10,Waste,EMEP_unprocessed
BE,2020,2020,K_AgriLivestock,nmvoc,42867.6751818388,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BE,2020,2020,L_AgriOther,nmvoc,4991.91573923053,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BG,2020,2020,A_PublicPower,nmvoc,656.971794,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BG,2020,2020,B_Industry,nmvoc,6928.1032556817,3,eu,2,sec02,Industry,EMEP_unprocessed
BG,2020,2020,C_OtherStationaryComb,nmvoc,20076.8170579347,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BG,2020,2020,D_Fugitive,nmvoc,7312.27742100001,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BG,2020,2020,E_Solvents,nmvoc,17114.6721781858,6,eu,5,sec05,Solvents,EMEP_unprocessed
BG,2020,2020,F_RoadTransport,nmvoc,6932.40673162858,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BG,2020,2020,G_Shipping,nmvoc,32.9949460152439,8,eu,7,sec07,Shipping,EMEP_unprocessed
BG,2020,2020,H_Aviation,nmvoc,7.668357797572,8,eu,8,sec08,Aviation,EMEP_unprocessed
BG,2020,2020,I_Offroad,nmvoc,941.037420431791,8,eu,9,sec09,Offroad,EMEP_unprocessed
BG,2020,2020,J_Waste,nmvoc,1386.83641242772,9,eu,10,sec10,Waste,EMEP_unprocessed
BG,2020,2020,K_AgriLivestock,nmvoc,9217.46851569061,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BG,2020,2020,L_AgriOther,nmvoc,1993.2254616607,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BLS,2020,2020,G_Shipping,nmvoc,795.294441497816,8,eu,7,sec07,Shipping,EMEP_unprocessed
BY,2020,2020,A_PublicPower,nmvoc,1809.08,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BY,2020,2020,B_Industry,nmvoc,31276.4099999999,3,eu,2,sec02,Industry,EMEP_unprocessed
BY,2020,2020,C_OtherStationaryComb,nmvoc,34581.2799999999,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BY,2020,2020,D_Fugitive,nmvoc,19264.66,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BY,2020,2020,E_Solvents,nmvoc,42130.54,6,eu,5,sec05,Solvents,EMEP_unprocessed
BY,2020,2020,F_RoadTransport,nmvoc,19159.44,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BY,2020,2020,I_Offroad,nmvoc,7308.80999999998,8,eu,9,sec09,Offroad,EMEP_unprocessed
BY,2020,2020,J_Waste,nmvoc,8846.69999999998,9,eu,10,sec10,Waste,EMEP_unprocessed
BY,2020,2020,K_AgriLivestock,nmvoc,47601.0999999998,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
BY,2020,2020,L_AgriOther,nmvoc,16103.68,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CAS,2020,2020,G_Shipping,nmvoc,138.650011706039,8,eu,7,sec07,Shipping,EMEP_unprocessed
CH,2020,2020,A_PublicPower,nmvoc,195.55691038636,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CH,2020,2020,B_Industry,nmvoc,6186.95359770289,3,eu,2,sec02,Industry,EMEP_unprocessed
CH,2020,2020,C_OtherStationaryComb,nmvoc,3872.23306419052,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CH,2020,2020,D_Fugitive,nmvoc,2489.07692433933,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CH,2020,2020,E_Solvents,nmvoc,31324.9903417471,6,eu,5,sec05,Solvents,EMEP_unprocessed
CH,2020,2020,F_RoadTransport,nmvoc,7371.87683241922,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CH,2020,2020,G_Shipping,nmvoc,412.604244414783,8,eu,7,sec07,Shipping,EMEP_unprocessed
CH,2020,2020,H_Aviation,nmvoc,90.1392502544639,8,eu,8,sec08,Aviation,EMEP_unprocessed
CH,2020,2020,I_Offroad,nmvoc,1743.93279314607,8,eu,9,sec09,Offroad,EMEP_unprocessed
CH,2020,2020,J_Waste,nmvoc,1719.61001011702,9,eu,10,sec10,Waste,EMEP_unprocessed
CH,2020,2020,K_AgriLivestock,nmvoc,17125.2502923986,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
CH,2020,2020,L_AgriOther,nmvoc,455.770580015,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CH,2020,2020,M_Other,nmvoc,163.133299440051,11,eu,13,sec13,Other,EMEP_unprocessed
CY,2020,2020,A_PublicPower,nmvoc,60.7760209138169,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CY,2020,2020,B_Industry,nmvoc,250.2532322175,3,eu,2,sec02,Industry,EMEP_unprocessed
CY,2020,2020,C_OtherStationaryComb,nmvoc,38.3419840811483,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CY,2020,2020,D_Fugitive,nmvoc,355.930859163909,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CY,2020,2020,E_Solvents,nmvoc,3943.17075288447,6,eu,5,sec05,Solvents,EMEP_unprocessed
CY,2020,2020,F_RoadTransport,nmvoc,1626.05311944442,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CY,2020,2020,G_Shipping,nmvoc,2.51037273745102,8,eu,7,sec07,Shipping,EMEP_unprocessed
CY,2020,2020,H_Aviation,nmvoc,9.30209051686538,8,eu,8,sec08,Aviation,EMEP_unprocessed
CY,2020,2020,I_Offroad,nmvoc,54.0601711853477,8,eu,9,sec09,Offroad,EMEP_unprocessed
CY,2020,2020,J_Waste,nmvoc,322.019952580367,9,eu,10,sec10,Waste,EMEP_unprocessed
CY,2020,2020,K_AgriLivestock,nmvoc,1955.18743,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
CY,2020,2020,L_AgriOther,nmvoc,23.60013,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CZ,2020,2020,A_PublicPower,nmvoc,3965.309993,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CZ,2020,2020,B_Industry,nmvoc,8203.87399405201,3,eu,2,sec02,Industry,EMEP_unprocessed
CZ,2020,2020,C_OtherStationaryComb,nmvoc,171196.008951222,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CZ,2020,2020,D_Fugitive,nmvoc,5045.47370753245,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CZ,2020,2020,E_Solvents,nmvoc,60603.9687616879,6,eu,5,sec05,Solvents,EMEP_unprocessed
CZ,2020,2020,F_RoadTransport,nmvoc,11858.4266874238,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CZ,2020,2020,G_Shipping,nmvoc,18.739512,8,eu,7,sec07,Shipping,EMEP_unprocessed
CZ,2020,2020,H_Aviation,nmvoc,64.2488304762268,8,eu,8,sec08,Aviation,EMEP_unprocessed
CZ,2020,2020,I_Offroad,nmvoc,3220.24200848923,8,eu,9,sec09,Offroad,EMEP_unprocessed
CZ,2020,2020,J_Waste,nmvoc,2307.30965732214,9,eu,10,sec10,Waste,EMEP_unprocessed
CZ,2020,2020,K_AgriLivestock,nmvoc,24519.1405823276,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
CZ,2020,2020,L_AgriOther,nmvoc,13440.4232258852,10,eu,12,sec12,AgriOther,EMEP_unprocessed
DE,2020,2020,A_PublicPower,nmvoc,6535.94520638732,1,eu,1,sec01,PublicPower,EMEP_unprocessed
DE,2020,2020,B_Industry,nmvoc,49313.1573744717,3,eu,2,sec02,Industry,EMEP_unprocessed
DE,2020,2020,C_OtherStationaryComb,nmvoc,37521.8360752827,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
DE,2020,2020,D_Fugitive,nmvoc,29052.5745684185,5,eu,4,sec04,Fugitive,EMEP_unprocessed
DE,2020,2020,E_Solvents,nmvoc,488797.485296782,6,eu,5,sec05,Solvents,EMEP_unprocessed
DE,2020,2020,F_RoadTransport,nmvoc,80500.5843615775,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
DE,2020,2020,G_Shipping,nmvoc,1449.92765943381,8,eu,7,sec07,Shipping,EMEP_unprocessed
DE,2020,2020,H_Aviation,nmvoc,573.134685031342,8,eu,8,sec08,Aviation,EMEP_unprocessed
DE,2020,2020,I_Offroad,nmvoc,30209.305848527,8,eu,9,sec09,Offroad,EMEP_unprocessed
DE,2020,2020,J_Waste,nmvoc,1752.19609514879,9,eu,10,sec10,Waste,EMEP_unprocessed
DE,2020,2020,K_AgriLivestock,nmvoc,287036.290941886,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
DE,2020,2020,L_AgriOther,nmvoc,9156.19782016649,10,eu,12,sec12,AgriOther,EMEP_unprocessed
DK,2020,2020,A_PublicPower,nmvoc,859.967363681205,1,eu,1,sec01,PublicPower,EMEP_unprocessed
DK,2020,2020,B_Industry,nmvoc,3141.1439829442,3,eu,2,sec02,Industry,EMEP_unprocessed
DK,2020,2020,C_OtherStationaryComb,nmvoc,8719.42274434838,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
DK,2020,2020,D_Fugitive,nmvoc,8251.74675820927,5,eu,4,sec04,Fugitive,EMEP_unprocessed
DK,2020,2020,E_Solvents,nmvoc,30487.8423775,6,eu,5,sec05,Solvents,EMEP_unprocessed
DK,2020,2020,F_RoadTransport,nmvoc,4935.65408120378,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
DK,2020,2020,G_Shipping,nmvoc,394.889576944472,8,eu,7,sec07,Shipping,EMEP_unprocessed
DK,2020,2020,H_Aviation,nmvoc,50.9846641663918,8,eu,8,sec08,Aviation,EMEP_unprocessed
DK,2020,2020,I_Offroad,nmvoc,3589.37544215237,8,eu,9,sec09,Offroad,EMEP_unprocessed
DK,2020,2020,J_Waste,nmvoc,573.105728181999,9,eu,10,sec10,Waste,EMEP_unprocessed
DK,2020,2020,K_AgriLivestock,nmvoc,40093.8318785718,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
DK,2020,2020,L_AgriOther,nmvoc,8030.73030810849,10,eu,12,sec12,AgriOther,EMEP_unprocessed
EE,2020,2020,A_PublicPower,nmvoc,1097.81,1,eu,1,sec01,PublicPower,EMEP_unprocessed
EE,2020,2020,B_Industry,nmvoc,2842.5317,3,eu,2,sec02,Industry,EMEP_unprocessed
EE,2020,2020,C_OtherStationaryComb,nmvoc,3576.901,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
EE,2020,2020,D_Fugitive,nmvoc,848.428,5,eu,4,sec04,Fugitive,EMEP_unprocessed
EE,2020,2020,E_Solvents,nmvoc,10227.978,6,eu,5,sec05,Solvents,EMEP_unprocessed
EE,2020,2020,F_RoadTransport,nmvoc,976.269669017009,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
EE,2020,2020,G_Shipping,nmvoc,17.948,8,eu,7,sec07,Shipping,EMEP_unprocessed
EE,2020,2020,H_Aviation,nmvoc,7.739,8,eu,8,sec08,Aviation,EMEP_unprocessed
EE,2020,2020,I_Offroad,nmvoc,413.285,8,eu,9,sec09,Offroad,EMEP_unprocessed
EE,2020,2020,J_Waste,nmvoc,129.382,9,eu,10,sec10,Waste,EMEP_unprocessed
EE,2020,2020,K_AgriLivestock,nmvoc,4250.287,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
EE,2020,2020,L_AgriOther,nmvoc,382.159999999999,10,eu,12,sec12,AgriOther,EMEP_unprocessed
ES,2020,2020,A_PublicPower,nmvoc,8934.90515411697,1,eu,1,sec01,PublicPower,EMEP_unprocessed
ES,2020,2020,B_Industry,nmvoc,54484.1176308966,3,eu,2,sec02,Industry,EMEP_unprocessed
ES,2020,2020,C_OtherStationaryComb,nmvoc,32760.3466422398,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
ES,2020,2020,D_Fugitive,nmvoc,20757.1625159873,5,eu,4,sec04,Fugitive,EMEP_unprocessed
ES,2020,2020,E_Solvents,nmvoc,299841.605032827,6,eu,5,sec05,Solvents,EMEP_unprocessed
ES,2020,2020,F_RoadTransport,nmvoc,15828.693256,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
ES,2020,2020,G_Shipping,nmvoc,777.023254,8,eu,7,sec07,Shipping,EMEP_unprocessed
ES,2020,2020,H_Aviation,nmvoc,271.463962293374,8,eu,8,sec08,Aviation,EMEP_unprocessed
ES,2020,2020,I_Offroad,nmvoc,12272.408789658,8,eu,9,sec09,Offroad,EMEP_unprocessed
ES,2020,2020,J_Waste,nmvoc,15199.7580522441,9,eu,10,sec10,Waste,EMEP_unprocessed
ES,2020,2020,K_AgriLivestock,nmvoc,80576.5287790001,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
ES,2020,2020,L_AgriOther,nmvoc,37594.436783,10,eu,12,sec12,AgriOther,EMEP_unprocessed
FI,2020,2020,A_PublicPower,nmvoc,1411.15197137085,1,eu,1,sec01,PublicPower,EMEP_unprocessed
FI,2020,2020,B_Industry,nmvoc,8090.58918750809,3,eu,2,sec02,Industry,EMEP_unprocessed
FI,2020,2020,C_OtherStationaryComb,nmvoc,18219.2926611194,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
FI,2020,2020,D_Fugitive,nmvoc,5442.3514791458,5,eu,4,sec04,Fugitive,EMEP_unprocessed
FI,2020,2020,E_Solvents,nmvoc,23348.8429194434,6,eu,5,sec05,Solvents,EMEP_unprocessed
FI,2020,2020,F_RoadTransport,nmvoc,4081.97886539043,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
FI,2020,2020,G_Shipping,nmvoc,3228.33236225311,8,eu,7,sec07,Shipping,EMEP_unprocessed
FI,2020,2020,H_Aviation,nmvoc,45.8823148948443,8,eu,8,sec08,Aviation,EMEP_unprocessed
FI,2020,2020,I_Offroad,nmvoc,5346.35318332129,8,eu,9,sec09,Offroad,EMEP_unprocessed
FI,2020,2020,J_Waste,nmvoc,100.919755719175,9,eu,10,sec10,Waste,EMEP_unprocessed
FI,2020,2020,K_AgriLivestock,nmvoc,12227.394194054,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
FI,2020,2020,L_AgriOther,nmvoc,3288.60358543,10,eu,12,sec12,AgriOther,EMEP_unprocessed
FR,2020,2020,A_PublicPower,nmvoc,733.498063608057,1,eu,1,sec01,PublicPower,EMEP_unprocessed
FR,2020,2020,B_Industry,nmvoc,57110.2778009039,3,eu,2,sec02,Industry,EMEP_unprocessed
FR,2020,2020,C_OtherStationaryComb,nmvoc,168607.691397822,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
FR,2020,2020,D_Fugitive,nmvoc,16258.0436035915,5,eu,4,sec04,Fugitive,EMEP_unprocessed
FR,2020,2020,E_Solvents,nmvoc,339635.37278202,6,eu,5,sec05,Solvents,EMEP_unprocessed
FR,2020,2020,F_RoadTransport,nmvoc,37426.0229529977,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
FR,2020,2020,G_Shipping,nmvoc,400.74383916726,8,eu,7,sec07,Shipping,EMEP_unprocessed
FR,2020,2020,H_Aviation,nmvoc,525.476113797146,8,eu,8,sec08,Aviation,EMEP_unprocessed
FR,2020,2020,I_Offroad,nmvoc,31237.3932387923,8,eu,9,sec09,Offroad,EMEP_unprocessed
FR,2020,2020,J_Waste,nmvoc,11244.8518090177,9,eu,10,sec10,Waste,EMEP_unprocessed
